id,faturamento_medio_mensal
5061,8497.218363951622
5062,6649.221857005156
5063,11382.550138682209
5064,5797.61191377901
5065,11993.147033426229
5066,7365.630994036598
5067,6600.3533548546675
5068,4622.605418439521
5069,7913.054938383568
5070,4990.356626690749
5071,6819.393470501792
5072,8173.6632610136385
5073,5275.231738764658
5074,7927.47119220813
5075,7551.801899174972
5076,6135.875243047872
5077,7123.894278733984
5078,8000.0727734661805
5079,11353.117406193123
5080,6716.109553816499
5081,5157.1463482282525
5082,7428.382952742972
5083,8893.99738965238
5084,12253.525599118371
5085,12152.810931450813
5086,12919.80141002579
5087,12507.664947570029
5088,5747.212664117626
5089,7632.825604105806
5090,17050.705936673578
5091,4989.383878457351
5092,6871.400233103994
5095,10187.689968743141
5098,10812.95723876861
5099,10647.891206739057
5100,9525.86739759274
5101,6431.307663354436
5102,10651.58823086731
5103,4731.579456234683
5105,7885.802046147296
5106,8554.432065992887
5107,5704.3122007938255
5108,4977.262031211837
5109,9100.19143854475
5110,8464.370874747648
5111,10648.863866876904
5112,8494.856664312207
5113,11314.467798551588
5115,8553.813018241215
5116,6910.7945839222775
5117,9636.002160788887
5118,8867.327727987637
5119,11628.771437107918
5120,9083.512219501092
5121,7939.148883331942
5122,10163.56938021655
5124,6724.765224937229
5125,10812.155289801434
5126,8006.044135507789
5127,10466.156853299508
5128,9016.429973402675
5131,3979.697977515808
5132,8072.039586041256
5133,7443.071049898059
5134,3322.002311490127
5135,9905.548182330638
5136,9559.833749812082
5137,4716.048801917143
5138,8811.631332142504
5139,14125.43240691242
5140,7550.952750427937
5141,5520.491946089102
5142,10787.977031823673
5143,8514.457627445836
5144,6495.147327179427
5145,9685.451112058607
5147,8574.170760293897
5148,6652.100264001529
5149,9615.696653399085
5150,11914.659440528887
5151,10321.2833205298
5152,6014.312559697616
5153,8219.24563026368
5154,6760.441423636092
5155,6744.238131019291
5156,7206.495234077367
5157,8547.955473732654
5158,9765.596662696707
5160,4949.942464745318
5161,5844.862770137952
5162,3010.7274488592057
5163,9264.081636979496
5165,12454.093839796386
5166,5593.869827362881
5167,4769.265013507484
5168,8766.173304636142
5169,9184.788933197546
5170,5679.4527589835725
5171,10781.59245812469
5172,7193.345454517115
5173,10360.465350637338
5174,3705.118194939988
5175,10940.617329862063
5176,11247.934045087175
5177,5664.43411786888
5178,7661.126162356635
5179,9286.461795785603
5180,7101.6884202784095
5181,9901.871653181266
5182,7703.5627652258
5183,5761.725044428322
5184,10661.813522060595
5185,7193.4360862124595
5188,4848.983012546665
5189,4568.823547117605
5190,4585.140275597505
5191,8450.738893617228
5192,7506.613584075295
5193,8041.001664195984
5194,8378.178667824206
5195,10941.370467522076
5196,10530.981609907902
5197,12068.266446873373
5198,7596.503910283827
5199,9610.432593583224
5200,13621.40743464837
5201,8167.622832069322
5202,7909.896140654625
5203,11269.228442861102
5204,5850.8801525740755
5205,7929.868336219386
5206,12533.79572157797
5207,10166.464229679468
5208,10330.76564488472
5209,10898.77057585802
5210,8383.075987075757
5212,7063.4308204538
5213,4285.292466937506
5214,2796.0478139239945
5215,3725.472932791439
5216,8979.771221903413
5217,5712.5285272761375
5218,6639.711669135154
5219,6931.652390292147
5220,8298.662636285559
5221,5470.971620149302
5222,5680.0371607974785
5223,6631.56215117675
5224,4563.021854778551
5226,12265.999911362887
5227,10356.23270642896
5228,7855.89824235814
5229,5318.280489032137
5230,6993.801502572809
5231,9399.988057052682
5232,8342.389627626875
5233,8527.965427425466
5234,6258.323975661608
5236,8535.958729538243
5237,7851.799154908198
5238,8944.334552776956
5239,6770.738810473425
5240,8597.678745558973
5241,6738.776648640928
5242,7191.997802039212
5244,8080.396801275257
5245,8501.404211842702
5246,13763.041783448001
5247,15688.638815178907
5248,7474.447913554178
5249,7450.356271386662
5250,12065.868777652979
5251,9589.9657801374
5252,8094.116544985117
5253,10037.147591251403
5254,8342.75827506123
5255,12642.79567484138
5256,9070.746167174426
5257,11413.362568968958
5258,6506.034406316041
5259,7013.751734664228
5260,8980.583765654785
5261,9750.004076225945
5264,7675.473907764345
5265,7605.316213973329
5267,9222.199519433965
5269,7360.506647689467
5270,7996.793895608428
5271,5906.3759594489475
5272,10584.220300353309
5274,6556.156383297864
5275,6359.908274290937
5276,13081.13052029442
5277,11113.90962845187
5279,10163.797053293207
5280,8454.018335547262
5282,5248.159800222329
5283,10295.545496088436
5284,9560.493656772387
5286,6048.323207676961
5288,11078.883888675142
5289,10958.03839229136
5290,6063.421396727336
5291,11220.880022451027
5292,7895.258192918877
5294,12045.032639364737
5295,8757.802159491146
5296,7165.506450684646
5297,6397.959487194356
5298,8601.84715726259
5299,9139.409914939399
5300,8053.92510343809
5301,11618.667372373142
5302,6742.796534135551
5303,5834.052464834724
5304,7174.886557814191
5305,4532.759005785264
5306,3072.756315150645
5307,6332.027200390833
5308,10976.457084173842
5309,8474.060244082035
5310,6699.537110641831
5311,3731.9328885862856
5312,6894.402775141004
5313,7772.6066705852745
5314,4477.05463140227
5315,10099.928272591394
5316,8212.325488837936
5317,8905.48445071437
5318,3797.502365771189
5319,9234.369692764285
5320,8264.020418831278
5321,5551.576095479383
5322,9036.630104109221
5323,6216.135185316319
5324,7552.806366667705
5325,7262.822987631862
5326,9432.697757825532
5327,6079.601227449811
5329,6634.899101949169
5331,7193.049425395992
5332,10233.063516032638
5333,11060.946366305296
5334,4796.518921648509
5335,11469.424022067906
5336,6448.6750955019625
5340,5003.010436158159
5341,4785.39305885413
5342,11448.960814033126
5344,6275.798084705584
5345,10638.021110645028
5346,6283.675969257251
5347,4855.612844263724
5349,6320.456463497245
5093,4311.649804591593
5094,1669.9954449346815
5096,5431.596955610386
5097,2795.9914564158594
5104,8461.724877978248
5114,5640.361064761956
5123,10135.784897895111
5130,6902.455669758003
5146,10908.170608331959
5159,3629.0184577076784
5164,8680.690424748365
5186,4679.142484946166
5187,2570.248542868598
5211,3107.3271775363955
5225,5217.262198172593
5235,3354.003020089829
5243,9370.063258074157
5262,3512.6847196599265
5263,7440.354747615822
5266,9244.841456814664
5268,9405.2201282995
5273,7030.224704118835
5278,2387.302913682289
5281,9965.553685262077
5285,9041.189967076143
5293,7452.146897105229
5328,3944.3104704307098
5330,6113.563263732011
5337,8689.370175917515
5339,7789.454243513904
5343,7216.1545853255575
5348,5995.309638015966
5129,4562.86463489169
5287,5694.647433530711
5338,1731.609580272661
